,max_iters,problem_size,algorithm,problem_type,fitness,processing_time
68,1850,15,simulated_annealing,OneMax,170.92810545118297,0.03671097755432129
69,1850,15,genetic_alg,OneMax,125.35401550897126,1.1833579540252686
70,50,15,random_hill_climb,TravellingSales,301.2158760084568,0.02038884162902832
71,50,15,simulated_annealing,TravellingSales,296.02413198527324,0.0018532276153564453
72,50,15,genetic_alg,TravellingSales,317.43449382655183,0.5706140995025635
73,50,15,mimic,TravellingSales,315.8384452954897,0.2802276611328125
74,250,15,random_hill_climb,TravellingSales,294.4280834542111,0.07738065719604492
75,250,15,simulated_annealing,TravellingSales,294.4280834542111,0.006963014602661133
76,250,15,genetic_alg,TravellingSales,317.43449382655183,1.150156021118164
77,250,15,mimic,TravellingSales,315.8384452954897,0.28206396102905273
78,450,15,random_hill_climb,TravellingSales,294.4280834542111,0.057383060455322266
79,450,15,simulated_annealing,TravellingSales,294.4280834542111,0.00694584846496582
80,450,15,genetic_alg,TravellingSales,317.43449382655183,1.1549410820007324
81,450,15,mimic,TravellingSales,315.8384452954897,0.2799348831176758
82,650,15,random_hill_climb,TravellingSales,294.4280834542111,0.061751604080200195
83,650,15,simulated_annealing,TravellingSales,294.4280834542111,0.006942033767700195
84,650,15,genetic_alg,TravellingSales,317.43449382655183,1.1458871364593506
85,650,15,mimic,TravellingSales,315.8384452954897,0.28182220458984375
86,850,15,random_hill_climb,TravellingSales,294.4280834542111,0.056565046310424805
87,850,15,simulated_annealing,TravellingSales,294.4280834542111,0.006928920745849609
88,850,15,genetic_alg,TravellingSales,317.43449382655183,1.1589710712432861
89,850,15,mimic,TravellingSales,315.8384452954897,0.27970314025878906
90,1050,15,random_hill_climb,TravellingSales,294.4280834542111,0.056877851486206055
91,1050,15,simulated_annealing,TravellingSales,294.4280834542111,0.006937980651855469
92,1050,15,genetic_alg,TravellingSales,317.43449382655183,1.154628038406372
93,1050,15,mimic,TravellingSales,315.8384452954897,0.2815248966217041
94,1250,15,random_hill_climb,TravellingSales,294.4280834542111,0.05733489990234375
95,1250,15,simulated_annealing,TravellingSales,294.4280834542111,0.006963968276977539
96,1250,15,genetic_alg,TravellingSales,317.43449382655183,1.157912015914917
97,1250,15,mimic,TravellingSales,315.8384452954897,0.27964115142822266
98,1450,15,random_hill_climb,TravellingSales,294.4280834542111,0.06293296813964844
99,1450,15,simulated_annealing,TravellingSales,294.4280834542111,0.006915092468261719
100,1450,15,genetic_alg,TravellingSales,317.43449382655183,1.1403436660766602
101,1450,15,mimic,TravellingSales,315.8384452954897,0.2830052375793457
102,1650,15,random_hill_climb,TravellingSales,294.4280834542111,0.06470012664794922
103,1650,15,simulated_annealing,TravellingSales,294.4280834542111,0.0068891048431396484
104,1650,15,genetic_alg,TravellingSales,317.43449382655183,1.1488449573516846
105,1650,15,mimic,TravellingSales,315.8384452954897,0.2800421714782715
106,1850,15,random_hill_climb,TravellingSales,294.4280834542111,0.06309127807617188
107,1850,15,simulated_annealing,TravellingSales,294.4280834542111,0.007030010223388672
108,1850,15,genetic_alg,TravellingSales,317.43449382655183,1.1537370681762695
109,1850,15,mimic,TravellingSales,315.8384452954897,0.28351402282714844
110,50,30,random_hill_climb,FourPeaks,39.0,0.0027658939361572266
111,50,30,simulated_annealing,FourPeaks,36.0,0.0003457069396972656
112,50,30,genetic_alg,FourPeaks,46.0,0.199843168258667
113,50,30,mimic,FourPeaks,50.0,2.1632330417633057
114,250,30,random_hill_climb,FourPeaks,56.0,0.010637044906616211
115,250,30,simulated_annealing,FourPeaks,50.0,0.0017011165618896484
116,250,30,genetic_alg,FourPeaks,46.0,0.6033458709716797
117,250,30,mimic,FourPeaks,50.0,2.165987253189087
118,450,30,random_hill_climb,FourPeaks,56.0,0.014732122421264648
119,450,30,simulated_annealing,FourPeaks,54.0,0.003022909164428711
120,450,30,genetic_alg,FourPeaks,46.0,0.604158878326416
121,450,30,mimic,FourPeaks,50.0,2.164072036743164
122,650,30,random_hill_climb,FourPeaks,56.0,0.019071102142333984
123,650,30,simulated_annealing,FourPeaks,56.0,0.00391387939453125
124,650,30,genetic_alg,FourPeaks,46.0,0.5965840816497803
125,650,30,mimic,FourPeaks,50.0,2.170193910598755
126,850,30,random_hill_climb,FourPeaks,56.0,0.018489837646484375
127,850,30,simulated_annealing,FourPeaks,56.0,0.003931283950805664
128,850,30,genetic_alg,FourPeaks,46.0,0.6067159175872803
129,850,30,mimic,FourPeaks,50.0,2.1781530380249023
130,1050,30,random_hill_climb,FourPeaks,56.0,0.018012046813964844
131,1050,30,simulated_annealing,FourPeaks,56.0,0.0038819313049316406
132,1050,30,genetic_alg,FourPeaks,46.0,0.6033170223236084
133,1050,30,mimic,FourPeaks,50.0,2.1654720306396484
134,1250,30,random_hill_climb,FourPeaks,56.0,0.018078088760375977
135,1250,30,simulated_annealing,FourPeaks,56.0,0.003933906555175781
136,1250,30,genetic_alg,FourPeaks,46.0,0.5952880382537842
137,1250,30,mimic,FourPeaks,50.0,2.1654300689697266
138,1450,30,random_hill_climb,FourPeaks,56.0,0.018042802810668945
139,1450,30,simulated_annealing,FourPeaks,56.0,0.0038461685180664062
140,1450,30,genetic_alg,FourPeaks,46.0,0.6037042140960693
141,1450,30,mimic,FourPeaks,50.0,2.1623969078063965
142,1650,30,random_hill_climb,FourPeaks,56.0,0.01798105239868164
143,1650,30,simulated_annealing,FourPeaks,56.0,0.003854990005493164
144,1650,30,genetic_alg,FourPeaks,46.0,0.5965218544006348
145,1650,30,mimic,FourPeaks,50.0,2.1618661880493164
146,1850,30,random_hill_climb,FourPeaks,56.0,0.018715858459472656
147,1850,30,simulated_annealing,FourPeaks,56.0,0.003876209259033203
148,1850,30,genetic_alg,FourPeaks,46.0,0.6076490879058838
149,1850,30,mimic,FourPeaks,50.0,2.1833019256591797
150,50,30,random_hill_climb,OneMax,108.69029395417442,0.006749153137207031
151,50,30,simulated_annealing,OneMax,97.36314154810178,0.0006730556488037109
152,50,30,genetic_alg,OneMax,122.38736092970755,0.30591511726379395
153,250,30,random_hill_climb,OneMax,123.93594635775074,0.030044078826904297
154,250,30,simulated_annealing,OneMax,99.21964896056956,0.003245830535888672
155,250,30,genetic_alg,OneMax,125.35401550897126,1.1925580501556396
156,450,30,random_hill_climb,OneMax,138.0050705913926,0.06071925163269043
157,450,30,simulated_annealing,OneMax,107.75537592232857,0.005859851837158203
158,450,30,genetic_alg,OneMax,125.35401550897126,1.189188003540039
159,650,30,random_hill_climb,OneMax,138.27387824756633,0.08424806594848633
160,650,30,simulated_annealing,OneMax,117.90387373936063,0.008238077163696289
161,650,30,genetic_alg,OneMax,125.35401550897126,1.1866750717163086
162,850,30,random_hill_climb,OneMax,147.16968909375564,0.10618114471435547
163,850,30,simulated_annealing,OneMax,126.57164925619685,0.010652303695678711
164,850,30,genetic_alg,OneMax,125.35401550897126,1.1886868476867676
165,1050,30,random_hill_climb,OneMax,152.31592377534224,0.13463115692138672
166,1050,30,simulated_annealing,OneMax,137.15087913171715,0.013208866119384766
167,1050,30,genetic_alg,OneMax,125.35401550897126,1.1938679218292236
168,1250,30,random_hill_climb,OneMax,162.76256103836536,0.1600329875946045
169,1250,30,simulated_annealing,OneMax,145.5781096899248,0.015679121017456055
170,1250,30,genetic_alg,OneMax,125.35401550897126,1.1896166801452637
171,1450,30,random_hill_climb,OneMax,170.16263761797512,0.19483590126037598
172,1450,30,simulated_annealing,OneMax,154.5717289358425,0.01836991310119629
173,1450,30,genetic_alg,OneMax,125.35401550897126,1.1888740062713623
174,1650,30,random_hill_climb,OneMax,172.2711704102438,0.2171471118927002
175,1650,30,simulated_annealing,OneMax,163.40981535368644,0.029245853424072266
176,1650,30,genetic_alg,OneMax,125.35401550897126,1.1846449375152588
177,1850,30,random_hill_climb,OneMax,182.82666281570863,0.2607431411743164
178,1850,30,simulated_annealing,OneMax,170.92810545118297,0.036360979080200195
179,1850,30,genetic_alg,OneMax,125.35401550897126,1.183089017868042
180,50,30,random_hill_climb,TravellingSales,271.03155799873434,0.0264589786529541
181,50,30,simulated_annealing,TravellingSales,291.1518946201094,0.0018489360809326172
182,50,30,genetic_alg,TravellingSales,295.72878559510434,0.5749509334564209
183,50,30,mimic,TravellingSales,317.5313729722026,0.30597591400146484
184,250,30,random_hill_climb,TravellingSales,271.03155799873434,0.07157492637634277
185,250,30,simulated_annealing,TravellingSales,271.03155799873434,0.008204936981201172
186,250,30,genetic_alg,TravellingSales,295.72878559510434,1.4705820083618164
187,250,30,mimic,TravellingSales,317.5313729722026,0.30488014221191406
188,450,30,random_hill_climb,TravellingSales,271.03155799873434,0.07527399063110352
189,450,30,simulated_annealing,TravellingSales,271.03155799873434,0.008949041366577148
190,450,30,genetic_alg,TravellingSales,295.72878559510434,1.4656519889831543
191,450,30,mimic,TravellingSales,317.5313729722026,0.3072519302368164
192,650,30,random_hill_climb,TravellingSales,271.03155799873434,0.07461714744567871
193,650,30,simulated_annealing,TravellingSales,271.03155799873434,0.008974790573120117
194,650,30,genetic_alg,TravellingSales,295.72878559510434,1.480159044265747
195,650,30,mimic,TravellingSales,317.5313729722026,0.30727434158325195
196,850,30,random_hill_climb,TravellingSales,271.03155799873434,0.0727391242980957
197,850,30,simulated_annealing,TravellingSales,271.03155799873434,0.009026050567626953
198,850,30,genetic_alg,TravellingSales,295.72878559510434,1.464766025543213
199,850,30,mimic,TravellingSales,317.5313729722026,0.30506086349487305
200,1050,30,random_hill_climb,TravellingSales,271.03155799873434,0.07038378715515137
201,1050,30,simulated_annealing,TravellingSales,271.03155799873434,0.008873939514160156
202,1050,30,genetic_alg,TravellingSales,295.72878559510434,1.4726841449737549
203,1050,30,mimic,TravellingSales,317.5313729722026,0.30472493171691895
204,1250,30,random_hill_climb,TravellingSales,271.03155799873434,0.07065486907958984
205,1250,30,simulated_annealing,TravellingSales,271.03155799873434,0.008983135223388672
206,1250,30,genetic_alg,TravellingSales,295.72878559510434,1.476792812347412
207,1250,30,mimic,TravellingSales,317.5313729722026,0.3050820827484131
208,1450,30,random_hill_climb,TravellingSales,271.03155799873434,0.08030390739440918
209,1450,30,simulated_annealing,TravellingSales,271.03155799873434,0.008980274200439453
210,1450,30,genetic_alg,TravellingSales,295.72878559510434,1.4862473011016846
211,1450,30,mimic,TravellingSales,317.5313729722026,0.30448484420776367
212,1650,30,random_hill_climb,TravellingSales,271.03155799873434,0.0704948902130127
213,1650,30,simulated_annealing,TravellingSales,271.03155799873434,0.009001970291137695
214,1650,30,genetic_alg,TravellingSales,295.72878559510434,1.4865531921386719
215,1650,30,mimic,TravellingSales,317.5313729722026,0.3057820796966553
216,1850,30,random_hill_climb,TravellingSales,271.03155799873434,0.07255792617797852
217,1850,30,simulated_annealing,TravellingSales,271.03155799873434,0.00902104377746582
218,1850,30,genetic_alg,TravellingSales,295.72878559510434,1.4762349128723145
219,1850,30,mimic,TravellingSales,317.5313729722026,0.3057410717010498
220,50,50,random_hill_climb,FourPeaks,7.0,0.0026319026947021484
221,50,50,simulated_annealing,FourPeaks,4.0,0.00032520294189453125
222,50,50,genetic_alg,FourPeaks,65.0,0.21717190742492676
223,50,50,mimic,FourPeaks,66.0,4.370017766952515
224,250,50,random_hill_climb,FourPeaks,16.0,0.008305788040161133
225,250,50,simulated_annealing,FourPeaks,10.0,0.0016429424285888672
226,250,50,genetic_alg,FourPeaks,71.0,0.7669141292572021
227,250,50,mimic,FourPeaks,66.0,4.3684070110321045
228,450,50,random_hill_climb,FourPeaks,35.0,0.012600898742675781
229,450,50,simulated_annealing,FourPeaks,20.0,0.0029511451721191406
230,450,50,genetic_alg,FourPeaks,71.0,0.761408805847168
231,450,50,mimic,FourPeaks,66.0,4.36887001991272
232,650,50,random_hill_climb,FourPeaks,70.0,0.01694011688232422
233,650,50,simulated_annealing,FourPeaks,27.0,0.004498958587646484
234,650,50,genetic_alg,FourPeaks,71.0,0.7730460166931152
235,650,50,mimic,FourPeaks,66.0,4.378427982330322
236,850,50,random_hill_climb,FourPeaks,25.0,0.013601064682006836
237,850,50,simulated_annealing,FourPeaks,84.0,0.006527900695800781
238,850,50,genetic_alg,FourPeaks,71.0,0.7687540054321289
239,850,50,mimic,FourPeaks,66.0,4.362094163894653
240,1050,50,random_hill_climb,FourPeaks,25.0,0.013105154037475586
241,1050,50,simulated_annealing,FourPeaks,89.0,0.00843191146850586
242,1050,50,genetic_alg,FourPeaks,71.0,0.7674758434295654
243,1050,50,mimic,FourPeaks,66.0,4.374691963195801
244,1250,50,random_hill_climb,FourPeaks,25.0,0.013309001922607422
245,1250,50,simulated_annealing,FourPeaks,94.0,0.01020503044128418
246,1250,50,genetic_alg,FourPeaks,71.0,0.7775418758392334
247,1250,50,mimic,FourPeaks,66.0,4.390242099761963
248,1450,50,random_hill_climb,FourPeaks,25.0,0.013091087341308594
249,1450,50,simulated_annealing,FourPeaks,94.0,0.010799169540405273
250,1450,50,genetic_alg,FourPeaks,71.0,0.765596866607666
251,1450,50,mimic,FourPeaks,66.0,4.3702380657196045
252,1650,50,random_hill_climb,FourPeaks,25.0,0.01354217529296875
253,1650,50,simulated_annealing,FourPeaks,94.0,0.010869026184082031
254,1650,50,genetic_alg,FourPeaks,71.0,0.9353420734405518
